"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","adult","citizen","psu","wave1","sex","sex_6_TEXT","age","education","edu_subject","edu_subject_6_TEXT","province","state","family","ideology_1","ideology_2","ideology_3","ideology_4","ideology_5","us_edu","income","china_assist","race_disc","Q48","covid_assess_1","covid_assess_2","covid_assess_3","covid_assess_2_1","covid_assess_2_2","covid_assess_2_3","us_aid","kit","kit_2","kit_got","kit_timely","return","return_reason","return_reason_5_TEXT","quar_assess","quar_reason","quar_reason_5_TEXT","quar_exempt","QID66_First.Click","QID66_Last.Click","QID66_Page.Submit","QID66_Click.Count","QID67_First.Click","QID67_Last.Click","QID67_Page.Submit","QID67_Click.Count","gov_assess_1","gov_assess_2","gov_assess_3","gov_assess_4","china_overall","china_gov","QID68_First.Click","QID68_Last.Click","QID68_Page.Submit","QID68_Click.Count","QID69_First.Click","QID69_Last.Click","QID69_Page.Submit","QID69_Click.Count","QID70_First.Click","QID70_Last.Click","QID70_Page.Submit","QID70_Click.Count","QID71_First.Click","QID71_Last.Click","QID71_Page.Submit","QID71_Click.Count","exclusion","group","finish"
"2021-03-26 22:38:18","2021-03-26 22:44:16","IP Address","108.75.83.217",100,357,TRUE,"2021-03-26 22:44:16","R_YWfHysRbtpDh2Vj",NA,NA,NA,NA,38.9683074951172,-95.2695007324219,"anonymous","ZH-S","是","是","是","否","女","",1993,"博士生在读","人文学科及艺术","","湖北","Kansas","国有企业经理,商业服务业员工","同意","反对","同意","反对","同意","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。并且据我所知，在我居住的城市，或者我就读大学所在的城市，也没什么针对中国人的歧视现象","有，在中国和美国都有我认识的人被感染","非常严重","一般","一般","","","","二者均无","有","","否","不及时","未曾回国","工作安排或学业计划","","","","","",1.764,6.577,19.124,3,1.958,10.506,23.079,4,4,2,1,2,"比较满意","既不同意也不反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-26 22:27:31","2021-03-26 22:44:24","IP Address","24.6.6.48",100,1012,TRUE,"2021-03-26 22:44:24","R_0wxunah5EdjIMBb",NA,NA,NA,NA,37.8610992431641,-122.256401062012,"qr","ZH-S","是","是","是","否","女","",1995,"博士生在读","社会科学及法学","","湖北","California","专业技术人员（如科学家、工程师、教师、律师、医生等）","强烈同意","强烈反对","强烈同意","强烈同意","强烈同意","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。并且据我所知，在我居住的城市，或者我就读大学所在的城市，也没什么针对中国人的歧视现象","没有","非常严重","比较严重","比较严重","","","","二者均无","有","","是","及时","未曾回国","工作安排或学业计划","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,"满意","强烈同意",0,0,5.624,0,2.239,66.502,70.151,3,NA,NA,NA,NA,NA,NA,NA,NA,"","negative","yes"
"2021-03-26 22:48:42","2021-03-26 22:52:34","IP Address","72.228.176.41",100,232,TRUE,"2021-03-26 22:52:34","R_2ARO94022n05WmI",NA,NA,NA,NA,42.9297027587891,-78.7434005737305,"anonymous","ZH-S","是","是","是","否","男","",1995,"研究生在读","工科","","山西","New York","党和国家干部（科级及以上）,私营企业主","同意","同意","反对","同意","反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我没有遇到过，但我认识的人遇到过","没有","比较严重","比较严重","一般","","","","二者均有","有","","是","无意见","未曾回国","签证因素，或担心返美时能否顺利入境,回国后的入境隔离会带来不便","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,"比较满意","强烈同意",NA,NA,NA,NA,NA,NA,NA,NA,2.272,9.889,11.265,14,0.913,7.356,8.489,3,"","additive","yes"
"2021-03-26 22:48:37","2021-03-26 22:53:05","IP Address","68.173.66.200",100,268,TRUE,"2021-03-26 22:53:06","R_22S6LChLzZOAGYx",NA,NA,NA,NA,40.6940002441406,-73.9900970458984,"qr","ZH-S","是","是","是","否","女","",1995,"博士生在读","工科","","辽宁","New York","专业技术人员（如科学家、工程师、教师、律师、医生等）,基层公务员或国有企业基层白领","反对","反对","同意","同意","同意","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。但我相信在我居住的城市，或者我就读大学所在的城市，有针对中国人的歧视现象","没有","非常严重","非常严重","非常严重","","","","二者均无","有","","否","及时","未曾回国","工作安排或学业计划,签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率,没买到机票或觉得票价过高,回国后的入境隔离会带来不便","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,1,"满意","强烈同意",NA,NA,NA,NA,NA,NA,NA,NA,0,0,14.194,0,0,0,8.327,0,"","additive","yes"
"2021-03-26 22:57:05","2021-03-26 23:01:19","IP Address","100.15.121.64",100,253,TRUE,"2021-03-26 23:01:19","R_5zNbMFSzXpnPYzf",NA,NA,NA,NA,39.0012969970703,-76.8880004882813,"anonymous","ZH-S","是","是","是","否","女","",1992,"博士生在读","社会科学及法学","","北京","Maryland","专业技术人员（如科学家、工程师、教师、律师、医生等）,基层公务员或国有企业基层白领","同意","强烈同意","同意","强烈反对","强烈反对","本科（含预科）","校内工作或实习收入（含全额奖学金）","从没有","都没有。但我相信在我居住的城市，或者我就读大学所在的城市，有针对中国人的歧视现象","有，在我认识的人当中，有人在美国被感染","非常严重","一般","比较严重","","","","收到过美国各级政府提供的现金或物资","有","","是","无意见","未曾回国","工作安排或学业计划,回国后的入境隔离会带来不便","","","","","",12.767,13.001,31.877,2,3.77,5.149,6.475,3,1,1,1,1,"不满意","同意",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-26 23:00:47","2021-03-26 23:05:43","IP Address","73.135.216.13",100,296,TRUE,"2021-03-26 23:05:44","R_2OYZghBAF3fc7Tj",NA,NA,NA,NA,39.0487976074219,-76.8342971801758,"anonymous","ZH-S","是","是","是","否","男","",1996,"博士生在读","社会科学及法学","","福建","Maryland","党和国家干部（科级及以上）","强烈反对","强烈反对","强烈同意","强烈同意","强烈同意","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。但我相信在我居住的城市，或者我就读大学所在的城市，有针对中国人的歧视现象","没有","比较严重","一般","一般","","","","二者均无","有","","是","无意见","未曾回国","工作安排或学业计划","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,"比较满意","同意",0,0,7.533,0,0,0,20.693,0,NA,NA,NA,NA,NA,NA,NA,NA,"","negative","yes"
"2021-03-26 23:00:55","2021-03-26 23:05:59","IP Address","76.236.28.162",100,304,TRUE,"2021-03-26 23:06:00","R_3EWElEklcGqGsfd",NA,NA,NA,NA,37.7695007324219,-122.384994506836,"anonymous","ZH-S","是","是","是","否","男","",1988,"博士生在读","商科","","辽宁","Pennsylvania","私营企业或外资企业基层白领","反对","反对","同意","同意","同意","本科（含预科）","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","有，在中国和美国都有我认识的人被感染","非常严重","比较严重","比较严重","","","","收到过美国各级政府提供的现金或物资","有","","否","及时","未曾回国","工作安排或学业计划,担心旅途期间增加感染几率,没买到机票或觉得票价过高","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,1,"比较满意","同意",0,0,38.854,0,4.062,18.329,19.044,9,NA,NA,NA,NA,NA,NA,NA,NA,"","negative","yes"
"2021-03-26 23:10:26","2021-03-26 23:15:41","IP Address","72.88.166.96",100,315,TRUE,"2021-03-26 23:15:42","R_3QLAXY9LsQlgOby",NA,NA,NA,NA,40.7463073730469,-74.1552963256836,"anonymous","ZH-S","是","是","是","否","男","",1997,"研究生在读","其他","","天津","New Jersey","党和国家干部（科级及以上）","反对","同意","强烈同意","强烈同意","强烈同意","硕士/博士研究生或以上","无收入","从没有","我遇到过","有，在我认识的人当中，有人在美国被感染","非常严重","非常严重","比较严重","","","","二者均无","不清楚","","","","已经或曾经回国","","","未经历隔离程序","","","情况特殊，按规定可免隔离",NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,"满意","强烈同意",NA,NA,NA,NA,NA,NA,NA,NA,4.006,8.916,10.601,5,4.228,7.235,8.3,2,"","additive","yes"
"2021-03-26 23:16:17","2021-03-26 23:22:20","IP Address","114.88.174.101",100,362,TRUE,"2021-03-26 23:22:20","R_2avq0SMMOCV6KQ1",NA,NA,NA,NA,31.0549011230469,121.349304199219,"anonymous","ZH-S","是","是","是","否","男","",1984,"博士后","社会科学及法学","","四川","Nevada","国有企业经理,产业工人","强烈同意","同意","反对","强烈反对","同意","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","没有","非常严重","比较严重","一般","","","","二者均无","不清楚","","","","已经或曾经回国","","","好","行动受太多限制","","",NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,"一般","同意",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","control","yes"
"2021-03-26 22:37:50","2021-03-26 23:28:45","IP Address","117.11.171.45",100,3055,TRUE,"2021-03-26 23:28:46","R_UlHkOvcihXWblcd",NA,NA,NA,NA,39.1423950195313,117.172698974609,"anonymous","ZH-S","是","是","是","否","女","",1995,"博士生在读","理科（包括医科、农科）","","天津","入学以来尚未赴美","私营企业主,专业技术人员（如科学家、工程师、教师、律师、医生等）","同意","同意","反对","反对","同意","本科（含预科）","校内工作或实习收入（含全额奖学金）","从没有","都没有。但我相信在我居住的城市，或者我就读大学所在的城市，有针对中国人的歧视现象","没有","","","","比较严重","比较严重","比较严重","二者均无","","有","","无意见","","","","","","","",0.564,14.503,16.379,8,0.912,5.363,7.389,4,4,3,4,2,"比较满意","既不同意也不反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-26 23:29:58","2021-03-26 23:32:46","IP Address","35.1.211.76",100,167,TRUE,"2021-03-26 23:32:46","R_1M6vZeNJ6lY44Jb",NA,NA,NA,NA,42.2196044921875,-83.6045989990234,"anonymous","ZH-S","是","是","是","否","男","",1993,"本科在读","社会科学及法学","","广东","Michigan","个体工商户","强烈同意","同意","强烈反对","强烈反对","强烈反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。并且据我所知，在我居住的城市，或者我就读大学所在的城市，也没什么针对中国人的歧视现象","没有","比较严重","比较严重","一般","","","","二者均无","不清楚","","","","未曾回国","签证因素，或担心返美时能否顺利入境","","","","","",5.503,5.503,6.317,1,1.758,5.187,6.241,6,4,4,2,3,"比较不满意","强烈反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-26 23:32:58","2021-03-26 23:37:24","IP Address","67.249.103.254",100,265,TRUE,"2021-03-26 23:37:24","R_3QK6IkWQbk2m0rG",NA,NA,NA,NA,43.0451049804688,-76.1738967895508,"anonymous","ZH-S","是","是","是","否","女","",1989,"博士生在读","社会科学及法学","","云南","New York","党和国家干部（科级及以上）","强烈同意","强烈同意","反对","强烈反对","强烈反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。但我相信在我居住的城市，或者我就读大学所在的城市，有针对中国人的歧视现象","有，在我认识的人当中，有人在美国被感染","比较严重","比较严重","比较严重","","","","二者均有","有","","否","无意见","未曾回国","工作安排或学业计划,回国后的入境隔离会带来不便","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,"不满意","强烈反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","control","yes"
"2021-03-26 23:37:10","2021-03-26 23:39:43","IP Address","98.244.55.56",100,152,TRUE,"2021-03-26 23:39:43","R_1NfPTLtpCygeAUS",NA,NA,NA,NA,38.5558929443359,-121.739105224609,"anonymous","ZH-S","是","是","是","否","男","",1998,"博士生在读","理科（包括医科、农科）","","湖北","California","基层公务员或国有企业基层白领","同意","强烈反对","反对","同意","强烈同意","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","没有","非常严重","非常严重","非常严重","","","","二者均无","有","","是","不及时","已经或曾经回国","","","一般","酒店设施比较差","","",NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,"比较满意","同意",2.172,2.172,2.731,1,0.519,5,5.81,7,NA,NA,NA,NA,NA,NA,NA,NA,"","negative","yes"
"2021-03-26 23:33:25","2021-03-26 23:39:54","IP Address","136.24.36.148",100,389,TRUE,"2021-03-26 23:39:55","R_1gjeyLsBBO7oYzB",NA,NA,NA,NA,37.777099609375,-122.40599822998,"qr","ZH-S","是","是","是","否","男","",1988,"博士生在读","工科","","上海","California","私营企业或外资企业基层白领","强烈同意","同意","反对","强烈反对","反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。但我相信在我居住的城市，或者我就读大学所在的城市，有针对中国人的歧视现象","没有","比较严重","不怎么严重","并不严重","","","","二者均无","不清楚","","","","未曾回国","签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,"比较不满意","既不同意也不反对",NA,NA,NA,NA,NA,NA,NA,NA,5.165,27.334,28.696,6,1.819,21.686,24.567,7,"","additive","yes"
"2021-03-26 23:52:02","2021-03-26 23:56:12","IP Address","169.234.216.112",100,249,TRUE,"2021-03-26 23:56:24","R_3iOJPWfatud5HAP",NA,NA,NA,NA,33.6459045410156,-117.843002319336,"anonymous","ZH-S","是","是","是","否","男","",1996,"博士生在读","社会科学及法学","","福建","California","国有企业经理,专业技术人员（如科学家、工程师、教师、律师、医生等）","同意","强烈同意","同意","强烈反对","反对","硕士/博士研究生或以上","无收入","从没有","我遇到过","没有","非常严重","非常严重","非常严重","","","","二者均无","有","","否","无意见","未曾回国","工作安排或学业计划,签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率,没买到机票或觉得票价过高,回国后的入境隔离会带来不便","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,"一般","反对",0,0,7.234,0,10.049,15.507,16.905,2,NA,NA,NA,NA,NA,NA,NA,NA,"","negative","yes"
"2021-03-26 23:57:37","2021-03-27 00:00:00","IP Address","184.103.168.194",100,143,TRUE,"2021-03-27 00:00:00","R_1hGOs9I10zxlQfV",NA,NA,NA,NA,33.5921936035156,-112.002899169922,"anonymous","ZH-S","是","是","是","否","女","",1995,"博士生在读","人文学科及艺术","","吉林","Arizona","私营企业或外资企业经理,专业技术人员（如科学家、工程师、教师、律师、医生等）","反对","强烈反对","同意","强烈同意","强烈同意","硕士/博士研究生或以上","校外工作或实习收入,校内工作或实习收入（含全额奖学金）,其他形式收入（如房屋租赁、商业经营）","从没有","我遇到过","有，在我认识的人当中，有人在美国被感染","比较严重","一般","一般","","","","二者均无","有","","否","及时","未曾回国","工作安排或学业计划","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,"比较满意","反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","control","yes"
"2021-03-27 00:04:35","2021-03-27 00:11:46","IP Address","76.20.12.105",100,431,TRUE,"2021-03-27 00:11:47","R_1opO6LPYqpakab9",NA,NA,NA,NA,38.5558929443359,-121.739105224609,"anonymous","ZH-S","是","是","是","否","男","",1995,"研究生在读","理科（包括医科、农科）","","广东","California","私营企业或外资企业经理,专业技术人员（如科学家、工程师、教师、律师、医生等）","同意","同意","反对","同意","同意","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我没有遇到过，但我认识的人遇到过","有，在我认识的人当中，有人在美国被感染","比较严重","比较严重","比较严重","","","","二者均无","有","","是","无意见","未曾回国","签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率,没买到机票或觉得票价过高,回国后的入境隔离会带来不便","","","","","",2.162,2.162,6.949,1,1.461,5.051,6.539,2,5,3,5,3,"满意","强烈同意",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-27 00:08:20","2021-03-27 00:12:42","IP Address","98.244.55.7",100,261,TRUE,"2021-03-27 00:12:42","R_3IXpuDPqRfjuTuV",NA,NA,NA,NA,38.5558929443359,-121.739105224609,"anonymous","ZH-S","是","是","是","否","男","",1996,"研究生在读","理科（包括医科、农科）","","上海","California","国有企业经理","反对","强烈同意","同意","同意","同意","本科（含预科）","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","有，在我认识的人当中，有人在美国被感染","非常严重","非常严重","比较严重","","","","二者均无","有","","是","及时","未曾回国","没买到机票或觉得票价过高,回国后的入境隔离会带来不便","","","","","",2.08,4.26,6.398,3,0.76,3.88,6.097,3,4,1,2,1,"比较满意","同意",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
